Train,Time_Steps,Extrinsic Reward,Extrinsic Reward Rate,Critic_Loss,Actor_loss,Curiosity_Loss,Forward_Loss,Inverse_Loss
Train,716800,60.0,0.01171875,0.68129486,0.41518793,2.7025807,0.0014676215,2.7011132
Train,721920,90.0,0.017578125,1.0318316,0.3260458,2.70052,0.001444383,2.6990755
Train,727040,100.0,0.01953125,1.4937298,0.7490461,2.6998482,0.0015223438,2.6983259
Train,732160,70.0,0.013671875,0.98949,0.21841612,2.6994445,0.0016348932,2.69781
Train,737280,40.0,0.0078125,0.6462269,0.2894079,2.7000954,0.001598613,2.6984966
Train,742400,40.0,0.0078125,0.68135065,0.24755055,2.699743,0.0017041437,2.6980388
Train,747520,60.0,0.01171875,0.6589245,0.06800806,2.6981936,0.0017871829,2.6964064
Train,752640,70.0,0.013671875,0.9802765,0.15424149,2.6996064,0.001975433,2.697631
Train,757760,80.0,0.015625,0.7427527,-0.029492445,2.6990087,0.00217736,2.6968312
Train,762880,70.0,0.013671875,0.7234524,0.028602827,2.6992977,0.002269494,2.6970284
Train,768000,70.0,0.013671875,0.8251982,0.1644895,2.7003987,0.002264135,2.6981347
Train,773120,50.0,0.009765625,0.63151866,-0.14218697,2.6968865,0.002084999,2.6948013
Train,778240,70.0,0.013671875,0.9354931,0.21206394,2.6962512,0.001978963,2.6942723
Train,783360,40.0,0.0078125,0.648487,0.0993527,2.6976628,0.0019016104,2.6957612
Train,788480,90.0,0.017578125,0.96229345,0.26211128,2.6972508,0.0018839646,2.6953666
Train,793600,90.0,0.017578125,0.98792267,0.22130828,2.694588,0.0019957179,2.6925924
Train,798720,40.0,0.0078125,0.5439445,0.19249904,2.6985512,0.0020353969,2.6965158
Train,803840,90.0,0.017578125,1.0794514,0.37894797,2.6943977,0.0021593657,2.6922383
Train,808960,130.0,0.025390625,1.5378379,0.5392152,2.6919944,0.0021803977,2.6898139
Train,814080,80.0,0.015625,1.1826789,0.32648677,2.6954486,0.0024363676,2.6930122
Train,819200,70.0,0.013671875,1.0381607,0.29859126,2.6957414,0.0026351865,2.6931062
Train,824320,130.0,0.025390625,1.1054424,0.1261149,2.6947858,0.0027847646,2.692001
Train,829440,60.0,0.01171875,0.6923566,-0.017486755,2.6879113,0.002656968,2.6852546
Train,834560,90.0,0.017578125,0.9844476,0.12842755,2.6902952,0.0024847474,2.6878107
Train,839680,80.0,0.015625,0.9232321,0.16123945,2.691889,0.0024286008,2.6894605
Train,844800,90.0,0.017578125,1.4534398,0.3652866,2.6879215,0.002406447,2.685515
Train,849920,40.0,0.0078125,0.57522887,-0.12265272,2.6892664,0.00227314,2.6869934
Train,855040,80.0,0.015625,0.9065386,0.015649077,2.6886208,0.0022314736,2.6863897
Train,860160,70.0,0.013671875,0.84552044,0.1477801,2.6894758,0.0023558778,2.68712
Train,865280,60.0,0.01171875,0.49329662,-0.16399714,2.6844947,0.0023678725,2.6821268
Train,870400,120.0,0.0234375,1.1006867,0.18879811,2.680718,0.002708536,2.6780095
Train,875520,70.0,0.013671875,0.8452117,0.2947706,2.6840458,0.0034691528,2.6805768
Train,880640,100.0,0.01953125,1.0752823,0.31192306,2.683566,0.0036734678,2.6798928
Train,885760,60.0,0.01171875,0.6993951,0.21089332,2.686353,0.0035362158,2.6828167
Train,890880,40.0,0.0078125,0.44436556,0.105613336,2.6730745,0.0032738,2.6698005
