Type,Time_Steps,Total_Rewards,Reward_Rate
Test - Datasize: 5000,890000,560.0,0.112
Train - Datasize: 10000 ,900000,1050.0,0.105
Test - Datasize: 5000,900000,560.0,0.112
Train - Datasize: 10000 ,910000,980.0,0.098
Test - Datasize: 5000,910000,500.0,0.1
Train - Datasize: 10000 ,920000,960.0,0.096
Test - Datasize: 5000,920000,520.0,0.104
Train - Datasize: 10000 ,930000,1040.0,0.104
Test - Datasize: 5000,930000,510.0,0.102
Train - Datasize: 10000 ,940000,1090.0,0.109
Test - Datasize: 5000,940000,470.0,0.094
Train - Datasize: 10000 ,950000,1100.0,0.11
Test - Datasize: 5000,950000,490.0,0.098
Train - Datasize: 10000 ,960000,1100.0,0.11
Test - Datasize: 5000,960000,500.0,0.1
Train - Datasize: 10000 ,970000,1130.0,0.113
Test - Datasize: 5000,970000,540.0,0.108
Train - Datasize: 10000 ,980000,1230.0,0.123
Test - Datasize: 5000,980000,490.0,0.098
Train - Datasize: 10000 ,990000,990.0,0.099
Test - Datasize: 5000,990000,490.0,0.098
Train - Datasize: 10000 ,1000000,1070.0,0.107
Test - Datasize: 5000,1000000,590.0,0.118
Train - Datasize: 10000 ,1010000,1030.0,0.103
Test - Datasize: 5000,1010000,500.0,0.1
Train - Datasize: 10000 ,1020000,1140.0,0.114
Test - Datasize: 5000,1020000,600.0,0.12
Train - Datasize: 10000 ,1030000,1080.0,0.108
Test - Datasize: 5000,1030000,550.0,0.11
Train - Datasize: 10000 ,1040000,960.0,0.096
Test - Datasize: 5000,1040000,450.0,0.09
Train - Datasize: 10000 ,1050000,930.0,0.093
Test - Datasize: 5000,1050000,570.0,0.114
Train - Datasize: 10000 ,1060000,1110.0,0.111
Test - Datasize: 5000,1060000,520.0,0.104
Train - Datasize: 10000 ,1070000,1070.0,0.107
Test - Datasize: 5000,1070000,560.0,0.112
Train - Datasize: 10000 ,1080000,1070.0,0.107
Test - Datasize: 5000,1080000,600.0,0.12
Train - Datasize: 10000 ,1090000,1080.0,0.108
Test - Datasize: 5000,1090000,600.0,0.12
Train - Datasize: 10000 ,1100000,1170.0,0.117
Test - Datasize: 5000,1100000,630.0,0.126
Train - Datasize: 10000 ,1110000,1120.0,0.112
Test - Datasize: 5000,1110000,470.0,0.094
Train - Datasize: 10000 ,1120000,1050.0,0.105
Test - Datasize: 5000,1120000,520.0,0.104
Train - Datasize: 10000 ,1130000,1040.0,0.104
Test - Datasize: 5000,1130000,530.0,0.106
Train - Datasize: 10000 ,1140000,1130.0,0.113
Test - Datasize: 5000,1140000,610.0,0.122
Train - Datasize: 10000 ,1150000,1120.0,0.112
Test - Datasize: 5000,1150000,570.0,0.114
Train - Datasize: 10000 ,1160000,1040.0,0.104
Test - Datasize: 5000,1160000,430.0,0.086
Train - Datasize: 10000 ,1170000,990.0,0.099
Test - Datasize: 5000,1170000,550.0,0.11
