Type,Time_Steps,Total_Rewards,Reward_Rate,Critic_Loss,Actor_Loss,Total_Loss
Test,465920,350,0.068359375,,,
Train,471040,350,0.068359375,2.3070302,0.27433342,2.5813637
Test,471040,310,0.060546875,,,
Train,476160,220,0.04296875,1.7874504,0.11729036,1.9047408
Test,476160,300,0.05859375,,,
Train,481280,340,0.06640625,2.1926086,0.25715527,2.4497638
Test,481280,320,0.0625,,,
Train,486400,340,0.06640625,1.8549393,0.052362688,1.907302
Test,486400,190,0.037109375,,,
Train,491520,240,0.046875,1.5059828,-0.07697743,1.4290054
Test,491520,310,0.060546875,,,
Train,496640,270,0.052734375,2.6874156,0.54807055,3.235486
Test,496640,380,0.07421875,,,
Train,501760,250,0.048828125,2.1208677,0.37247312,2.493341
Test,501760,290,0.056640625,,,
Train,506880,350,0.068359375,2.2739427,0.2129943,2.486937
Test,506880,230,0.044921875,,,
Train,512000,330,0.064453125,2.2174213,0.057160124,2.2745814
Test,512000,330,0.064453125,,,
Train,517120,360,0.0703125,2.3958378,0.30145717,2.697295
Test,517120,330,0.064453125,,,
Train,522240,270,0.052734375,2.1295629,0.22840722,2.35797
Test,522240,410,0.080078125,,,
Train,527360,270,0.052734375,1.5875028,0.1356768,1.7231796
Test,527360,360,0.0703125,,,
Train,532480,330,0.064453125,2.654575,0.5398825,3.1944575
Test,532480,230,0.044921875,,,
Train,537600,400,0.078125,2.4389598,0.3348455,2.7738054
Test,537600,420,0.08203125,,,
Train,542720,350,0.068359375,2.2499397,0.38969675,2.6396365
Test,542720,330,0.064453125,,,
Train,547840,280,0.0546875,2.0268047,0.4675496,2.4943542
Test,547840,310,0.060546875,,,
Train,552960,350,0.068359375,2.0773735,0.20685971,2.284233
Test,552960,330,0.064453125,,,
Train,558080,330,0.064453125,2.0547307,0.12643683,2.1811676
Test,558080,420,0.08203125,,,
Train,563200,320,0.0625,2.4196584,0.3625621,2.7822206
Test,563200,310,0.060546875,,,
Train,568320,330,0.064453125,2.0179513,0.055661097,2.0736125
Test,568320,300,0.05859375,,,
Train,573440,360,0.0703125,2.7174966,0.1172332,2.83473
Test,573440,330,0.064453125,,,
Train,578560,380,0.07421875,1.6388432,-0.29086196,1.3479812
Test,578560,310,0.060546875,,,
Train,583680,270,0.052734375,2.0567575,0.3151571,2.3719146
Test,583680,360,0.0703125,,,
Train,588800,390,0.076171875,2.364888,0.14575285,2.5106409
Test,588800,290,0.056640625,,,
Train,593920,450,0.087890625,2.8538072,0.47014627,3.3239534
Test,593920,330,0.064453125,,,
Train,599040,350,0.068359375,2.7227902,0.38487205,3.1076622
Test,599040,320,0.0625,,,
